protein,PDB ID,SMILES,Affinity Type,Affinity,pAffinity
Dopamine RECEPTOR D5,8IRV,Clc1cccc(N2CCCN(CCCCOc3ccc4CCC(=O)Nc4c3)CC2)c1Cl,Ki,615,6.211124884
Dopamine RECEPTOR D5,8IRV,CCCCCN1CCC(C1)c1cccc(O)c1,Ki,605,6.218244625
Dopamine RECEPTOR D5,8IRV,COCCc1cnc([nH]1)-c1ccc(OCC(O)CNCCc2ccc(OC)c(OC)c2)cc1,Ki,600,6.22184875
Dopamine RECEPTOR D5,8IRV,C[C@@H]1C[C@@H](C)N1C(=O)[C@H]1CN(C)C2Cc3c[nH]c4cccc(C2=C1)c34,Ki,590,6.229147988
Dopamine RECEPTOR D5,8IRV,Cl.CCOc1ccc(F)cc1C1CC1CNCCCSc1nnc(-c2ccccc2)n1C,Ki,589,6.229884705
Dopamine RECEPTOR D5,8IRV,Cl.CCN(CCCCNC(=O)c1ccc2ccccc2c1)CC1CC1c1cc(Cl)ccc1OC,Ki,571,6.243363892
Dopamine RECEPTOR D5,8IRV,Cc1nc2CCCCn2c(=O)c1CCN1CCC(CC1)c1noc2cc(F)ccc12,Ki,563,6.249491605
Dopamine RECEPTOR D5,8IRV,CC(C)C[C@@H]1N2C(=O)[C@](NC(=O)[C@H]3CN(C)[C@@H]4Cc5c(Br)[nH]c6cccc(C4=C3)c56)(O[C@@]2(O)[C@@H]2CCCN2C1=O)C(C)C,Ki,537,6.270025714
Dopamine RECEPTOR D5,8IRV,CCCN1CCc2cccc-3c2[C@H]1Cc1ccc(O)c(O)c-31,Ki,530,6.27572413
Dopamine RECEPTOR D5,8IRV,OC1(CCN(CCCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1)c1ccc(Cl)c(c1)C(F)(F)F,Ki,529,6.276544328
Dopamine RECEPTOR D5,8IRV,Clc1cccc(N2CCCN(CCCCOc3ccc4CCC(=O)Nc4n3)CC2)c1Cl,Ki,513,6.289882635
Dopamine RECEPTOR D5,8IRV,COc1cc2CCN(C)CCCc3ccccc3Cc2cc1OC,Ki,510,6.292429824
Dopamine RECEPTOR D5,8IRV,Clc1ccc(cc1)N1CCN(CCCCn2cnc3ccccc3c2=O)CC1,Ki,507,6.294992041
Dopamine RECEPTOR D5,8IRV,COc1cc2CCN(CC=C)CC(c3ccccc3Br)c2cc1O,Ki,501,6.300162274
Dopamine RECEPTOR D5,8IRV,COc1cc2CCNCC(c3ccccc3Cl)c2cc1O,Ki,483,6.316052869
Dopamine RECEPTOR D5,8IRV,COc1cc2CCN(CC=C)CC(c2cc1O)c1c(Cl)cccc1Cl,Ki,479,6.319664487
Dopamine RECEPTOR D5,8IRV,CC(C)C[C@@H]1N2C(=O)[C@](NC(=O)[C@H]3CN(C)[C@@H]4Cc5c(Br)[nH]c6cccc(C4=C3)c56)(O[C@@]2(O)[C@@H]2CCCN2C1=O)C(C)C,Ki,454,6.342944147
Dopamine RECEPTOR D5,8IRV,Oc1cc2CCN(CC=C)CC(c3ccccc3Br)c2cc1O,Ki,442,6.354577731
Dopamine RECEPTOR D5,8IRV,CCCCCCCN1CCC(C1)c1cccc(O)c1,Ki,438,6.358525889
Dopamine RECEPTOR D5,8IRV,OC1(CCN(CCCN(c2ccc(F)cc2)c2ccc(F)cc2)CC1)c1ccc(Cl)c(c1)C(F)(F)F,Ki,437,6.359518563
Dopamine RECEPTOR D5,8IRV,COc1cc2CCN(C)C3Cc4ccc(N)cc4-c(c1O)c23,Ki,418,6.378823718
Dopamine RECEPTOR D5,8IRV,CN(C)CCOc1ccccc1Cc1ccccc1,Ki,414,6.382999659
Dopamine RECEPTOR D5,8IRV,OC1(CCN(CCCCc2ccc(F)cc2)CC1)c1ccc(Cl)cc1,Ki,414,6.382999659
Dopamine RECEPTOR D5,8IRV,CCN(CC)CCCOc1cccc(c1)N1C(=O)\C(=N\c2cccc(c2)C(F)(F)F)c2ccccc12,Ki,411,6.386158178
Dopamine RECEPTOR D5,8IRV,C[C@H]1C[C@H](C)N1C(=O)[C@H]1CN(C)C2Cc3c[nH]c4cccc(C2=C1)c34,Ki,400,6.397940009
Dopamine RECEPTOR D5,8IRV,C[C@@H]1Cc2c(Cc3ccccc3CCN1C)[nH]c1ccccc21,Ki,389,6.410050399
Dopamine RECEPTOR D5,8IRV,O=C1N(CCCCN2CCN(CC2)c2ccccc2)S(=O)(=O)c2ccccc12,Ki,386,6.413412695
Dopamine RECEPTOR D5,8IRV,C(CN1CCOCC1)Oc1ccccc1Cc1ccccc1,Ki,366,6.436518915
Dopamine RECEPTOR D5,8IRV,CN1CCc2cccc-3c2[C@H]1Cc1ccc(O)c(O)c-31,Ki,363,6.440093375
Dopamine RECEPTOR D5,8IRV,CN1CCc2c(Cc3ccccc3CC1)ccn2C,Ki,361,6.442492798
Dopamine RECEPTOR D5,8IRV,COc1ccccc1N1CCN(CCCNC(=O)Nc2ccccc2-c2ccc(cc2)-c2ccccc2)CC1,Ki,350,6.455931956
Dopamine RECEPTOR D5,8IRV,CCN(CC)C(=O)[C@H]1CN(C)[C@@H]2Cc3c[nH]c4cccc(C2=C1)c34,Ki,340,6.468521083
Dopamine RECEPTOR D5,8IRV,COc1ccccc1N1CCN(CCCNC(=O)NN(Cc2ccccc2)c2ccccc2)CC1,Ki,340,6.468521083
Dopamine RECEPTOR D5,8IRV,COc1cc2CCN(Cc3ccccc3CNC(=O)c3ccc(cc3)C#N)Cc2cc1OC,Ki,340,6.468521083
Dopamine RECEPTOR D5,8IRV,CN1CCc2c(Cc3ccccc3CC1)ccn2C,Ki,337,6.472370099
Dopamine RECEPTOR D5,8IRV,COc1ccccc1N1CCN(CCCCN2C(=O)Cc3ccccc23)CC1,Ki,330,6.48148606
Dopamine RECEPTOR D5,8IRV,COc1cc(ccc1OCCCN1CCC(CC1)c1noc2cc(F)ccc12)C(C)=O,Ki,319,6.496209317
