protein,PDB ID,SMILES,Affinity Type,Affinity,pAffinity
Dopamine RECEPTOR D4,8IRU,OC1(CCN(Cc2c[nH]c3ccccc23)CC1)c1cccc(Cl)c1,Ki,3540,5.450996738
Dopamine RECEPTOR D4,8IRU,CCOC(=O)C1(CCN(Cc2c[nH]c3ccccc23)CC1)c1ccc(Cl)cc1,Ki,3520,5.453457337
Dopamine RECEPTOR D4,8IRU,COc1ccc(Br)cc1C1=N[C@H](CN2CCN(CC2)c2ccccc2)CCN1,Ki,3500,5.455931956
Dopamine RECEPTOR D4,8IRU,O[C@H](CCNC(=O)c1cc2ccccc2[nH]1)CN1CCN(CC1)c1cccc(Cl)c1Cl,Ki,3430,5.46470588
Dopamine RECEPTOR D4,8IRU,CCc1cc(Cl)c(OC)c(C(=O)NCC2CCCN2CCCCNCCC(C(=O)N(C)C)(c2ccccc2)c2ccccc2)c1O,Ki,3420,5.465973894
Dopamine RECEPTOR D4,8IRU,[O-][N+](=O)c1ccc2N(CCc2c1)C(=O)CN1CCN(Cc2ccc(Cl)cc2)CC1,Ki,3394,5.469288162
Dopamine RECEPTOR D4,8IRU,Cc1cccc(n1)C1CCN(CCNC(=O)C2CCCO2)CC1,Ki,3378,5.471340355
Dopamine RECEPTOR D4,8IRU,FC(CCNC(=O)c1cc2ccccc2[nH]1)CN1CCN(CC1)c1cccc(Cl)c1Cl,Ki,3360,5.473660723
Dopamine RECEPTOR D4,8IRU,COc1cc2CCN(Cc3ccccc3CNC(=O)c3cccc(c3)C#N)Cc2cc1O,Ki,3360,5.473660723
Dopamine RECEPTOR D4,8IRU,NCCc1ccc(O)c(O)c1,Ki,3310,5.480172006
Dopamine RECEPTOR D4,8IRU,C(N1CCC(CC1)n1cccc1C#Cc1ccccc1)c1ccccc1,Ki,3300,5.48148606
Dopamine RECEPTOR D4,8IRU,COc1cc(CCNC[C@H](O)c2ccc(O)c3[nH]c(=O)ccc23)ccc1OCCCc1ccccc1,Ki,3300,5.48148606
Dopamine RECEPTOR D4,8IRU,C[C@H]1COC(CN1CCCCOc1ccc2CCC(=O)Nc2c1)c1ccc(N)nc1,Ki,3220,5.492144128
Dopamine RECEPTOR D4,8IRU,CCCCn1cc(CCCOc2ccc(cc2OC)C(=O)NCCCN2CCCN(CC2)c2ccc(O)c3[nH]c(=O)ccc23)nn1,Ki,3200,5.494850022
Dopamine RECEPTOR D4,8IRU,COc1ccccc1N1CCN(CC(F)CCNC(=O)c2ccc-3c(Cc4ccccc-34)c2)CC1,Ki,3180,5.49757288
Dopamine RECEPTOR D4,8IRU,CN1CCc2cc(Cl)c(O)cc2[C@H](C1)c1ccccc1,Ki,3170,5.498940738
Dopamine RECEPTOR D4,8IRU,CCCN(CCCCNC(=O)c1ccc(cc1)-c1ccccc1)C1CCC(=CC1)C#Cc1ccccc1,Ki,3100,5.508638306
Dopamine RECEPTOR D4,8IRU,Oc1ccc(C[C@H]2NCCc3cc(O)c(O)cc23)cc1,Ki,3100,5.508638306
Dopamine RECEPTOR D4,8IRU,CN[C@@H]1Cc2cc(OC)c(F)cc2[C@H]1c1ccccc1,Ki,3100,5.508638306
Dopamine RECEPTOR D4,8IRU,FC(CCNC(=O)c1ccc(cc1)-c1ccccn1)CN1CCN(CC1)c1cccc(Cl)c1Cl,Ki,3090,5.510041521
Dopamine RECEPTOR D4,8IRU,OC1(CC2CCC(C1)N2Cc1c[nH]c2ccccc12)c1ccc(Cl)cc1,Ki,3007,5.521866572
Dopamine RECEPTOR D4,8IRU,OCCOCCN1CCN(CC1)C1=Nc2ccccc2Sc2ccccc12,Ki,3000,5.522878745
Dopamine RECEPTOR D4,8IRU,OCCOCCN1CCN(CC1)C1=Nc2ccccc2Sc2ccccc12,Ki,3000,5.522878745
